condition,speakerId,rows,speakingPct,semanticPct,topDirection,topDistance,topTurn,topSemantic
TRADITIONAL,A,298,37.92,37.92,FRONT(298),FAR(298),LISTENER(185),NONE(185)
TRADITIONAL,B,298,30.87,30.87,FRONT(298),FAR(298),LISTENER(206),NONE(206)
TRADITIONAL,C,298,20.13,20.13,FRONT(298),FAR(298),LISTENER(238),NONE(238)
DIRECTION_DISTANCE,A,298,37.92,37.92,FRONT(298),FAR(298),LISTENER(185),NONE(185)
DIRECTION_DISTANCE,B,298,30.54,30.54,FRONT(298),FAR(298),LISTENER(207),NONE(207)
DIRECTION_DISTANCE,C,298,20.13,20.13,FRONT(298),FAR(298),LISTENER(238),NONE(238)
FULL_SCENE_TOKEN,A,251,38.25,38.25,FRONT(251),FAR(251),LISTENER(155),NONE(155)
FULL_SCENE_TOKEN,B,251,32.67,32.67,FRONT(251),FAR(251),LISTENER(169),NONE(169)
FULL_SCENE_TOKEN,C,251,15.54,15.54,FRONT(251),FAR(251),LISTENER(212),NONE(212)
