condition,rows,durationSec,speakingPct,semanticPct,turnHolderRows,overlapRows,sessions,participants,trials,speakers,topDirection,topDistance,topTurn,topSemantic
DIRECTION_DISTANCE,1302,139.08,29.42,29.42,303,80,20260630_140909,P00,3,A|B|C,FRONT(1302),FAR(1302),LISTENER(919),NONE(919)
DIRECTION_DISTANCE_SPEAKING,336,128.62,27.38,27.38,72,20,20260630_140909,P00,3|4,A|B|C,FRONT(336),FAR(336),LISTENER(244),NONE(244)
DIRECTION_ONLY,1092,114.72,30.49,30.49,253,80,20260630_140909,P00,2|3|4,A|B|C,FRONT(1092),FAR(1092),LISTENER(759),NONE(759)
FULL_SCENE_TOKEN,618,20.63,29.45,29.45,142,40,20260630_140909,P00,4,A|B|C,FRONT(618),FAR(618),LISTENER(436),NONE(436)
TRADITIONAL,1425,124.07,29.19,29.19,328,88,20260630_140909,P00,1|2|3,A|B|C,FRONT(1425),FAR(1425),LISTENER(1009),NONE(1009)
